,Weight (g),,length (cm),,,,,,,,,,,,,,,,
6_4,0.1397,,,,,,,,,,,,,,,,,,
60_1,0.1286,,,,,,,,,,,,,,,,,,
30_2,0,,,,,,,,,,,,,,,,,,
30_3,0,,,,,,,,,,,,,,,,,,
60_3,0.1097,,,,,,,,,,,,,,,,,,
30_5,0,,,,,,,,,,,,,,,,,,
31_1,0,,,,,,,,,,,,,,,,,,
60_4,0.1299,,,,,,,,,,,,,,,,,,
61_1,0.0224,,,,,,,,,,,,,,,,,,
61_2,0.0121,,,,,,,,,,,,,,,,,,
31_5,0,,,,,,,,,,,,,,,,,,
32_1,0,,,,,,,,,,,,,,,,,,
32_2,0,,,,,,,,,,,,,,,,,,
61_3,0.0308,,,,,,,,,,,,,,,,,,
61_4,0.1043,,,,,,,,,,,,,,,,,,
62_1,0.074,,,,,,,,,,,,,,,,,,
62_2,0.0734,,,,,,,,,,,,,,,,,,
35_2,0,,,,,,,,,,,,,,,,,,
62_3,0.0524,,,,,,,,,,,,,,,,,,
35_4,0,,,,,,,,,,,,,,,,,,
62_4,0.0355,,,,,,,,,,,,,,,,,,
62_5,0.0587,,,,,,,,,,,,,,,,,,
36_2,0,,,,,,,,,,,,,,,,,,
36_3,0,,,,,,,,,,,,,,,,,,
36_4,0,,,,,,,,,,,,,,,,,,
63_2,0.106,,,,,,,,,,,,,,,,,,
13_1,0,,,,,,,,,,,,,,,,,,
13_2,0,,,,,,,,,,,,,,,,,,
13_3,0,,,,,,,,,,,,,,,,,,
63_3,0.1044,,,,,,,,,,,,,,,,,,
63_4,0.0852,,,,,,,,,,,,,,,,,,
63_5,0.0485,,,,,,,,,,,,,,,,,,
64_1,0.0952,,,,,,,,,,,,,,,,,,
64_2,0.0521,,,,,,,,,,,,,,,,,,
64_3,0.0384,,,,,,,,,,,,,,,,,,
64_4,0.0824,,,,,,,,,,,,,,,,,,
64_5,0.0894,,,,,,,,,,,,,,,,,,
65_1,0.0324,,,,,,,,,,,,,,,,,,
15_3,0,,,,,,,,,,,,,,,,,,
65_2,0.0442,,,,,,,,,,,,,,,,,,
65_4,0.1212,,,,,,,,,,,,,,,,,,
65_5,0.308,,,,,,,,,,,,,,,,,,
16_2,0,,,,,,,,,,,,,,,,,,
16_3,0.0945,,,,,,,,,,,,,,,,,,
16_4,0,,,,,,,,,,,,,,,,,,
66_1,0.0214,,,,,,,,,,,,,,,,,,
66_2,0.1353,,,,,,,,,,,,,,,,,,
37_2,0,,,,,,,,,,,,,,,,,,
66_3,0.0644,,,,,,,,,,,,,,,,,,
37_4,0,,,,,,,,,,,,,,,,,,
66_4,0.0557,,,,,,,,,,,,,,,,,,
18_1,0,,,,,,,,,,,,,,,,,,
66_5,0.0772,,,,,,,,,,,,,,,,,,
67_1,0.0507,,,,,,,,,,,,,,,,,,
67_2,0.0592,,,,,,,,,,,,,,,,,,
18_5,0,,,,,,,,,,,,,,,,,,
19_1,0,,,,,,,,,,,,,,,,,,
67_3,0.0598,,,,,,,,,,,,,,,,,,
19_3,0,,,,,,,,,,,,,,,,,,
19_4,0,,,,,,,,,,,,,,,,,,
67_4,0.0662,,,,,,,,,,,,,,,,,,
67_5,0.0801,,,,,,,,,,,,,,,,,,
68_1,0.0862,,,,,,,,,,,,,,,,,,
68_3,0.0454,,,,,,,,,,,,,,,,,,
68_4,0.0267,,,,,,,,,,,,,,,,,,
6_5,0,,,,,,,,,,,,,,,,,,
68_5,0.0383,,,,,,,,,,,,,,,,,,
69_1,0.0309,,,,,,,,,,,,,,,,,,
69_2,0.0421,,,,,,,,,,,,,,,,,,
69_3,0.0846,,,,,,,,,,,,,,,,,,
21_5,0,,,,,,,,,,,,,,,,,,
22_1,0,,,,,,,,,,,,,,,,,,
69_4,0.0562,,,,,,,,,,,,,,,,,,
69_5,0.0397,,,,,,,,,,,,,,,,,,
22_4,0,,,,,,,,,,,,,,,,,,
70_1,0.0658,,,,,,,,,,,,,,,,,,
70_2,0.0529,,,,,,,,,,,,,,,,,,
70_3,0.1094,,,,,,,,,,,,,,,,,,
70_4,0.0223,,,,,,,,,,,,,,,,,,
70_5,0.0876,,,,,,,,,,,,,,,,,,
71_1,0.051,,,,,,,,,,,,,,,,,,
24_1,0,,,,,,,,,,,,,,,,,,
71_2,0.0612,,,,,,,,,,,,,,,,,,
71_3,0.1076,,,,,,,,,,,,,,,,,,
71_4,0.1411,,,,,,,,,,,,,,,,,,
24_5,0,,,,,,,,,,,,,,,,,,
101_1,0,,,,,,,,,,,,,,,,,,
71_5,0.0078,,,,,,,,,,,,,,,,,,
101_3,0,,,,,,,,,,,,,,,,,,
72_1,0.0643,,,,,,,,,,,,,,,,,,
101_5,0,,,,,,,,,,,,,,,,,,
72_2,0.0688,,,,,,,,,,,,,,,,,,
72_3,0.0418,,,,,,,,,,,,,,,,,,
102_3,0,,,,,,,,,,,,,,,,,,
72_4,0.08,,,,,,,,,,,,,,,,,,
102_5,0,,,,,,,,,,,,,,,,,,
73_1,0.0661,,,,,,,,,,,,,,,,,,
73_3,0.089,,,,,,,,,,,,,,,,,,
99_3,0,,,,,,,,,,,,,,,,,,
73_4,0.0123,,,,,,,,,,,,,,,,,,
99_5,0,,,,,,,,,,,,,,,,,,
73_5,0.0614,,,,,,,,,,,,,,,,,,
100_2,0,,,,,,,,,,,,,,,,,,
100_3,0,,,,,,,,,,,,,,,,,,
74_1,0.0068,,,,,,,,,,,,,,,,,,
100_5,0,,,,,,,,,,,,,,,,,,
74_2,0.0803,,,,,,,,,,,,,,,,,,
97_2,0,,,,,,,,,,,,,,,,,,
97_3,0,,,,,,,,,,,,,,,,,,
74_3,0.0518,,,,,,,,,,,,,,,,,,
97_5,0,,,,,,,,,,,,,,,,,,
98_1,0,,,,,,,,,,,,,,,,,,
74_4,0.0476,,,,,,,,,,,,,,,,,,
98_3,0,,,,,,,,,,,,,,,,,,
74_5,0.0424,,,,,,,,,,,,,,,,,,
98_5,0,,,,,,,,,,,,,,,,,,
75_1,0.0245,,,,,,,,,,,,,,,,,,
107_2,0,,,,,,,,,,,,,,,,,,
75_2,0.0523,,,,,,,,,,,,,,,,,,
107_4,0,,,,,,,,,,,,,,,,,,
107_5,0,,,,,,,,,,,,,,,,,,
75_3,0.048,,,,,,,,,,,,,,,,,,
75_4,0.0563,,,,,,,,,,,,,,,,,,
109_3,0,,,,,,,,,,,,,,,,,,
75_5,0.049,,,,,,,,,,,,,,,,,,
109_5,0,,,,,,,,,,,,,,,,,,
124_1,0,,,,,,,,,,,,,,,,,,
76_2,0.0438,,,,,,,,,,,,,,,,,,
124_3,0,,,,,,,,,,,,,,,,,,
76_3,0.0336,,,,,,,,,,,,,,,,,,
124_5,0,,,,,,,,,,,,,,,,,,
104_1,0,,,,,,,,,,,,,,,,,,
76_4,0.0218,,,,,,,,,,,,,,,,,,
76_5,0.0318,,,,,,,,,,,,,,,,,,
104_4,0,,,,,,,,,,,,,,,,,,
104_5,0,,,,,,,,,,,,,,,,,,
77_1,0.0855,,,,,,,,,,,,,,,,,,
77_2,0.0923,,,,,,,,,,,,,,,,,,
103_3,0,,,,,,,,,,,,,,,,,,
77_3,0.097,,,,,,,,,,,,,,,,,,
77_4,0.0732,,,,,,,,,,,,,,,,,,
94_1,0,,,,,,,,,,,,,,,,,,
78_1,0.0551,,,,,,,,,,,,,,,,,,
94_3,0,,,,,,,,,,,,,,,,,,
78_2,0.0703,,,,,,,,,,,,,,,,,,
94_5,0,,,,,,,,,,,,,,,,,,
78_3,0.0192,,,,,,,,,,,,,,,,,,
78_4,0.1096,,,,,,,,,,,,,,,,,,
92_3,0,,,,,,,,,,,,,,,,,,
79_1,0.0558,,,,,,,,,,,,,,,,,,
79_2,0.0402,,,,,,,,,,,,,,,,,,
79_5,0.025,,,,,,,,,,,,,,,,,,
93_2,0,,,,,,,,,,,,,,,,,,
80_3,0.0688,,,,,,,,,,,,,,,,,,
93_4,0,,,,,,,,,,,,,,,,,,
93_5,0,,,,,,,,,,,,,,,,,,
90_1,0,,,,,,,,,,,,,,,,,,
80_4,0.1066,,,,,,,,,,,,,,,,,,
90_3,0,,,,,,,,,,,,,,,,,,
90_4,0,,,,,,,,,,,,,,,,,,
90_5,0,,,,,,,,,,,,,,,,,,
89_1,0,,,,,,,,,,,,,,,,,,
89_2,0,,,,,,,,,,,,,,,,,,
89_3,0,,,,,,,,,,,,,,,,,,
89_4,0,,,,,,,,,,,,,,,,,,
80_5,0.0665,,,,,,,,,,,,,,,,,,
85_1,0,,,,,,,,,,,,,,,,,,
85_2,0,,,,,,,,,,,,,,,,,,
85_3,0,,,,,,,,,,,,,,,,,,
85_4,0,,,,,,,,,,,,,,,,,,
81_1,0.1083,,,,,,,,,,,,,,,,,,
86_1,0,,,,,,,,,,,,,,,,,,
86_2,0,,,,,,,,,,,,,,,,,,
86_3,0,,,,,,,,,,,,,,,,,,
86_4,0,,,,,,,,,,,,,,,,,,
81_2,0.1091,,,,,,,,,,,,,,,,,,
87_1,0,,,,,,,,,,,,,,,,,,
87_2,0,,,,,,,,,,,,,,,,,,
87_3,0,,,,,,,,,,,,,,,,,,
87_4,0,,,,,,,,,,,,,,,,,,
81_4,0.1257,,,,,,,,,,,,,,,,,,
88_1,0,,,,,,,,,,,,,,,,,,
88_2,0,,,,,,,,,,,,,,,,,,
88_3,0,,,,,,,,,,,,,,,,,,
88_4,0,,,,,,,,,,,,,,,,,,
82_1,0.0082,,1*.7,1*.4,1.2*.6,1*.6,1.1*.5,.7*.4,1.4*.6,,,,,,,,,,
12_1,0,,,,,,,,,,,,,,,,,,
82_3,0.0592,,,,,,,,,,,,,,,,,,
12_3,0,,,,,,,,,,,,,,,,,,
12_4,0,,,,,,,,,,,,,,,,,,
12_5,0,,,,,,,,,,,,,,,,,,
05_1,0,,,,,,,,,,,,,,,,,,
82_4,0.058,,,,,,,,,,,,,,,,,,
05_3,0,,,,,,,,,,,,,,,,,,
82_5,0.0729,,,,,,,,,,,,,,,,,,
05_5,0,,,,,,,,,,,,,,,,,,
09_1,0,,,,,,,,,,,,,,,,,,
09_2,0,,,,,,,,,,,,,,,,,,
83_2,0.0484,,,,,,,,,,,,,,,,,,
83_4,0.0627,,,,,,,,,,,,,,,,,,
83_5,0.0633,,,,,,,,,,,,,,,,,,
03_1,0,,,,,,,,,,,,,,,,,,
84_1,0.0236,,,,,,,,,,,,,,,,,,
03_3,0,,,,,,,,,,,,,,,,,,
84_2,0.0448,,,,,,,,,,,,,,,,,,
03_5,0,,,,,,,,,,,,,,,,,,
04_1,0,,,,,,,,,,,,,,,,,,
84_3,0.0715,,,,,,,,,,,,,,,,,,
04_3,0,,,,,,,,,,,,,,,,,,
84_4,0.0481,,,,,,,,,,,,,,,,,,
04_5,0,,,,,,,,,,,,,,,,,,
85_5,0.4357,,,,,,,,,,,,,,,,,,
86_5,0.2108,,,,,,,,,,,,,,,,,,
87_5,0.3131,,,,,,,,,,,,,,,,,,
01_4,0,,,,,,,,,,,,,,,,,,
01_5,0,,,,,,,,,,,,,,,,,,
88_5,0.0642,,,,,,,,,,,,,,,,,,
07_2,0,,,,,,,,,,,,,,,,,,
07_3,0,,,,,,,,,,,,,,,,,,
89_5,0.2412,,,,,,,,,,,,,,,,,,
07_5,0,,,,,,,,,,,,,,,,,,
90_2,0.1291,,,,,,,,,,,,,,,,,,
113_2,0,,,,,,,,,,,,,,,,,,
91_4,0.0613,,,,,,,,,,,,,,,,,,
92_1,0.1529,,,,,,,,,,,,,,,,,,
113_5,0,,,,,,,,,,,,,,,,,,
117_1,0,,,,,,,,,,,,,,,,,,
117_2,0,,,,,,,,,,,,,,,,,,
117_3,0,,,,,,,,,,,,,,,,,,
117_4,0,,,,,,,,,,,,,,,,,,
92_2,0.109,,,,,,,,,,,,,,,,,,
92_4,0.0965,,,,,,,,,,,,,,,,,,
116_2,0,,,,,,,,,,,,,,,,,,
116_3,0,,,,,,,,,,,,,,,,,,
116_4,0,,,,,,,,,,,,,,,,,,
116_5,0,,,,,,,,,,,,,,,,,,
110_1,0,,,,,,,,,,,,,,,,,,
110_2,0,,,,,,,,,,,,,,,,,,
110_3,0,,,,,,,,,,,,,,,,,,
110_4,0,,,,,,,,,,,,,,,,,,
92_5,0.1189,,,,,,,,,,,,,,,,,,
114_1,0,,,,,,,,,,,,,,,,,,
114_2,0,,,,,,,,,,,,,,,,,,
114_3,0,,,,,,,,,,,,,,,,,,
114_4,0,,,,,,,,,,,,,,,,,,
93_1,0.2111,,,,,,,,,,,,,,,,,,
115_1,0,,,,,,,,,,,,,,,,,,
93_3,0.0862,,,,,,,,,,,,,,,,,,
115_3,0,,,,,,,,,,,,,,,,,,
115_4,0,,,,,,,,,,,,,,,,,,
115_5,0,,,,,,,,,,,,,,,,,,
122_1,0,,,,,,,,,,,,,,,,,,
122_2,0,,,,,,,,,,,,,,,,,,
94_2,0.096,,,,,,,,,,,,,,,,,,
122_4,0,,,,,,,,,,,,,,,,,,
122_5,0,,,,,,,,,,,,,,,,,,
120_1,0,,,,,,,,,,,,,,,,,,
120_2,0,,,,,,,,,,,,,,,,,,
120_3,0,,,,,,,,,,,,,,,,,,
120_4,0,,,,,,,,,,,,,,,,,,
94_4,0.0805,,,,,,,,,,,,,,,,,,
180_1,0,,,,,,,,,,,,,,,,,,
180_2,0,,,,,,,,,,,,,,,,,,
180_3,0,,,,,,,,,,,,,,,,,,
96_1,0.1214,,,,,,,,,,,,,,,,,,
180_5,0,,,,,,,,,,,,,,,,,,
96_4,0.0727,,,,,,,,,,,,,,,,,,
96_2,0,,,,,,,,,,,,,,,,,,
96_3,0,,,,,,,,,,,,,,,,,,
97_1,0.0931,,,,,,,,,,,,,,,,,,
96_5,0,,,,,,,,,,,,,,,,,,
43_1,0,,,,,,,,,,,,,,,,,,
97_4,0.24,,,,,,,,,,,,,,,,,,
98_2,0.1867,,,,,,,,,,,,,,,,,,
98_4,0.1253,,,,,,,,,,,,,,,,,,
43_5,0,,,,,,,,,,,,,,,,,,
99_1,0.15758,,,,,,,,,,,,,,,,,,
40_2,0,,,,,,,,,,,,,,,,,,
40_3,0,,,,,,,,,,,,,,,,,,
40_4,0,,,,,,,,,,,,,,,,,,
40_5,0,,,,,,,,,,,,,,,,,,
39_1,0,,,,,,,,,,,,,,,,,,
39_2,0,,,,,,,,,,,,,,,,,,
39_3,0,,,,,,,,,,,,,,,,,,
39_4,0,,,,,,,,,,,,,,,,,,
99_2,0.1434,,,,,,,,,,,,,,,,,,
91_1,0,,,,,,,,,,,,,,,,,,
91_2,0,,,,,,,,,,,,,,,,,,
91_3,0,,,,,,,,,,,,,,,,,,
99_4,0.2125,,,,,,,,,,,,,,,,,,
91_5,0,,,,,,,,,,,,,,,,,,
