,Weight (g),,length (cm),,,,,,,,,,,,,,,,
145_2,0.816,,,,,,,,,,,,,,,,,,
145_3,0.649,,,,,,,,,,,,,,,,,,
145_4,0.014,,,,,,,,,,,,,,,,,,
146_1,0.0598,,,,,,,,,,,,,,,,,,
146_2,0.0384,,1.8*1cm,2.3*0.8,1.2*1,1.7*0.9,1.5*0.6,2*1,0.4*0.4,,1.8,1.84,1.2,1.53,0.9,2,0.16,,9.43
146_3,0.0423,,,,,,,,,,,,,,,,,,
146_4,0.0762,,,,,,,,,,,,,,,,,,
147_1,0.0368,,,,,,,,,,,,,,,,,,
147_2,0.0272,,,,,,,,,,,,,,,,,,
147_3,0.0464,,,,,,,,,,,,,,,,,,
147_4,0.0362,,,,,,,,,,,,,,,,,,
147_5,0.0326,,,,,,,,,,,,,,,,,,
148_1,0.1511,,,,,,,,,,,,,,,,,,
148_2,0.0737,,,,,,,,,,,,,,,,,,
148_3,0.061,,,,,,,,,,,,,,,,,,
148_4,0.0469,,,,,,,,,,,,,,,,,,
148_5,0.04342,,,,,,,,,,,,,,,,,,
149_1,0.0676,,,,,,,,,,,,,,,,,,
149_2,0.0654,,,,,,,,,,,,,,,,,,
149_3,0.0436,,,,,,,,,,,,,,,,,,
149_4,0.0725,,,,,,,,,,,,,,,,,,
153_5,0,,,,,,,,,,,,,,,,,,
149_5,0.0276,,,,,,,,,,,,,,,,,,
15_1,0.1222,,,,,,,,,,,,,,,,,,
15_2,0.0941,,,,,,,,,,,,,,,,,,
15_4,0.0376,,,,,,,,,,,,,,,,,,
152_5,0,,,,,,,,,,,,,,,,,,
15_5,0.1046,,,,,,,,,,,,,,,,,,
150_1,0.0235,,,,,,,,,,,,,,,,,,
150_2,0.034,,,,,,,,,,,,,,,,,,
150_3,0.0463,,,,,,,,,,,,,,,,,,
150_4,0.0727,,,,,,,,,,,,,,,,,,
150_5,0.0342,,,,,,,,,,,,,,,,,,
151_1,0.0722,,,,,,,,,,,,,,,,,,
151_2,0.0556,,,,,,,,,,,,,,,,,,
151_3,0.0458,,,,,,,,,,,,,,,,,,
146_5,0,,,,,,,,,,,,,,,,,,
151_4,0.0357,,,,,,,,,,,,,,,,,,
151_5,0.0348,,,,,,,,,,,,,,,,,,
152_1,0.048,,,,,,,,,,,,,,,,,,
152_2,0.0775,,,,,,,,,,,,,,,,,,
145_5,0,,,,,,,,,,,,,,,,,,
152_3,0.0237,,,,,,,,,,,,,,,,,,
152_4,0.0451,,,,,,,,,,,,,,,,,,
153_1,0.1034,,,,,,,,,,,,,,,,,,
153_2,0.0503,,,,,,,,,,,,,,,,,,
153_3,0.073,,,,,,,,,,,,,,,,,,
153_4,0.1149,,,,,,,,,,,,,,,,,,
154_1,0.0286,,,,,,,,,,,,,,,,,,
154_2,0.0566,,,,,,,,,,,,,,,,,,
154_3,0.0288,,,,,,,,,,,,,,,,,,
154_4,0.0624,,,,,,,,,,,,,,,,,,
154_5,0.0486,,,,,,,,,,,,,,,,,,
155_1,0.0696,,,,,,,,,,,,,,,,,,
155_2,0.0374,,,,,,,,,,,,,,,,,,
155_3,0.0486,,,,,,,,,,,,,,,,,,
155_4,0.0667,,,,,,,,,,,,,,,,,,
155_5,0.0282,,,,,,,,,,,,,,,,,,
156_1,0.055,,,,,,,,,,,,,,,,,,
156_2,0.0307,,,,,,,,,,,,,,,,,,
156_3,0.115,,,,,,,,,,,,,,,,,,
156_4,0.0813,,,,,,,,,,,,,,,,,,
156_5,0.0691,,,,,,,,,,,,,,,,,,
157_1,0.1475,,,,,,,,,,,,,,,,,,
81_3,0,,,,,,,,,,,,,,,,,,
157_2,0.0469,,,,,,,,,,,,,,,,,,
81_5,0,,,,,,,,,,,,,,,,,,
157_3,0.0888,,,,,,,,,,,,,,,,,,
82_2,0,,,,,,,,,,,,,,,,,,
157_4,0.077,,,,,,,,,,,,,,,,,,
157_5,0.1196,,,,,,,,,,,,,,,,,,
158_1,0.1013,,,,,,,,,,,,,,,,,,
158_2,0.1348,,,,,,,,,,,,,,,,,,
