Name,Weight (g),,length (cm),,,,,,,,,,,,,,,,
070723_188_2,0,,,,,,,,,,,,,,,,,,
070723_188_3,0.0097,,,,,,,,,,,,,,,,,,
070723_188_4,0.0176,,,,,,,,,,,,,,,,,,
070723_188_5,0.0178,,,,,,,,,,,,,,,,,,
070723_192_1,0.0192,,,,,,,,,,,,,,,,,,
070723_192_2,0.0215,,,,,,,,,,,,,,,,,,
070723_192_3,0.0226,,,,,,,,,,,,,,,,,,
070723_192_4,0.0261,,,,,,,,,,,,,,,,,,
070723_192_5,0.0126,,,,,,,,,,,,,,,,,,
070723_190_1,0,,,,,,,,,,,,,,,,,,
070723_190_2,0.0169,,,,,,,,,,,,,,,,,,
070723_190_3,0.0194,,,,,,,,,,,,,,,,,,
070723_190_4,0.169,,,,,,,,,,,,,,,,,,
070723_190_5,0.0166,,,,,,,,,,,,,,,,,,
140723_156_1,0.055,,,,,,,,,,,,,,,,,,
140723_156_2,0.0307,,,,,,,,,,,,,,,,,,
140723_156_3,0.115,,1.8*1cm,2.3*0.8,1.2*1,1.7*0.9,1.5*0.6,2*1,0.4*0.4,,1.8,1.84,1.2,1.53,0.9,2,0.16,,9.43
140723_156_4,0.0813,,,,,,,,,,,,,,,,,,
140723_156_5,0.0691,,,,,,,,,,,,,,,,,,
140723_155_1,0.0696,,,,,,,,,,,,,,,,,,
140723_155_2,0.0374,,,,,,,,,,,,,,,,,,
140723_155_3,0.0486,,,,,,,,,,,,,,,,,,
140723_155_4,0.0667,,,,,,,,,,,,,,,,,,
140723_155_5,0.0282,,,,,,,,,,,,,,,,,,
140723_154_1,0.0286,,,,,,,,,,,,,,,,,,
140723_154_2,0.0566,,,,,,,,,,,,,,,,,,
140723_154_3,0.0288,,,,,,,,,,,,,,,,,,
140723_154_4,0.0624,,,,,,,,,,,,,,,,,,
140723_154_5,0.0486,,,,,,,,,,,,,,,,,,
140723_153_1,0.1034,,,,,,,,,,,,,,,,,,
140723_153_2,0.0503,,,,,,,,,,,,,,,,,,
140723_153_3,0.073,,,,,,,,,,,,,,,,,,
140723_153_4,0.1149,,,,,,,,,,,,,,,,,,
140723_153_5,0,,,,,,,,,,,,,,,,,,
140723_152_1,0.048,,,,,,,,,,,,,,,,,,
140723_152_2,0.0775,,,,,,,,,,,,,,,,,,
140723_152_3,0.0237,,,,,,,,,,,,,,,,,,
140723_152_4,0.0451,,,,,,,,,,,,,,,,,,
140723_152_5,0,,,,,,,,,,,,,,,,,,
140723_151_1,0.0722,,,,,,,,,,,,,,,,,,
140723_151_2,0.0556,,,,,,,,,,,,,,,,,,
140723_151_3,0.0458,,,,,,,,,,,,,,,,,,
140723_151_4,0.0357,,,,,,,,,,,,,,,,,,
140723_151_5,0.0348,,,,,,,,,,,,,,,,,,
140723_146_1,0.0598,,,,,,,,,,,,,,,,,,
140723_146_2,0.0384,,,,,,,,,,,,,,,,,,
140723_146_3,0.0423,,,,,,,,,,,,,,,,,,
140723_146_4,0.0762,,,,,,,,,,,,,,,,,,
140723_146_5,0,,,,,,,,,,,,,,,,,,
140723_145_1,0.1041,,,,,,,,,,,,,,,,,,
140723_145_2,0.816,,,,,,,,,,,,,,,,,,
140723_145_3,0.649,,,,,,,,,,,,,,,,,,
140723_145_4,0.014,,,,,,,,,,,,,,,,,,
140723_145_5,0,,,,,,,,,,,,,,,,,,
140723_148_1,0.1511,,,,,,,,,,,,,,,,,,
140723_148_2,0.0737,,,,,,,,,,,,,,,,,,
140723_148_3,0.061,,,,,,,,,,,,,,,,,,
140723_148_4,0.0469,,,,,,,,,,,,,,,,,,
140723_148_5,0.04342,,,,,,,,,,,,,,,,,,
140723_147_1,0.0368,,,,,,,,,,,,,,,,,,
140723_147_2,0.0272,,,,,,,,,,,,,,,,,,
140723_147_3,0.0464,,,,,,,,,,,,,,,,,,
140723_147_4,0.0362,,,,,,,,,,,,,,,,,,
140723_147_5,0.0326,,,,,,,,,,,,,,,,,,
140723_149_1,0.0676,,,,,,,,,,,,,,,,,,
140723_149_2,0.0654,,,,,,,,,,,,,,,,,,
140723_149_3,0.0436,,,,,,,,,,,,,,,,,,
140723_149_4,0.0725,,,,,,,,,,,,,,,,,,
140723_149_5,0.0276,,,,,,,,,,,,,,,,,,
140723_150_1,0.0235,,,,,,,,,,,,,,,,,,
140723_150_2,0.034,,,,,,,,,,,,,,,,,,
140723_150_3,0.0463,,,,,,,,,,,,,,,,,,
140723_150_4,0.0727,,,,,,,,,,,,,,,,,,
140723_150_5,0.0342,,,,,,,,,,,,,,,,,,
140723_81_1,0.1083,,,,,,,,,,,,,,,,,,
140723_81_2,0.1091,,,,,,,,,,,,,,,,,,
140723_81_3,0,,,,,,,,,,,,,,,,,,
140723_81_4,0.1257,,,,,,,,,,,,,,,,,,
140723_81_5,0,,,,,,,,,,,,,,,,,,
140723_82_1,0.0082,,,,,,,,,,,,,,,,,,
140723_82_2,0,,,,,,,,,,,,,,,,,,
140723_82_3,0.0592,,,,,,,,,,,,,,,,,,
140723_82_4,0.058,,,,,,,,,,,,,,,,,,
140723_82_5,0.0729,,,,,,,,,,,,,,,,,,
140723_79_1,0.0558,,,,,,,,,,,,,,,,,,
140723_79_2,0.0402,,,,,,,,,,,,,,,,,,
140723_79_3,0,,,,,,,,,,,,,,,,,,
140723_79_4,0,,,,,,,,,,,,,,,,,,
140723_79_5,0.025,,,,,,,,,,,,,,,,,,
140723_80_1,0,,,,,,,,,,,,,,,,,,
140723_80_2,0,,,,,,,,,,,,,,,,,,
140723_80_3,0.0688,,,,,,,,,,,,,,,,,,
140723_80_4,0.1066,,,,,,,,,,,,,,,,,,
140723_80_5,0.0665,,,,,,,,,,,,,,,,,,
140723_73_1,0.0661,,,,,,,,,,,,,,,,,,
140723_73_2,0,,,,,,,,,,,,,,,,,,
140723_73_3,0.089,,,,,,,,,,,,,,,,,,
140723_73_4,0.0123,,,,,,,,,,,,,,,,,,
140723_73_5,0.0614,,,,,,,,,,,,,,,,,,
140723_74_1,0.0068,,,,,,,,,,,,,,,,,,
140723_74_2,0.0803,,,,,,,,,,,,,,,,,,
140723_74_3,0.0518,,,,,,,,,,,,,,,,,,
140723_74_4,0.0476,,,,,,,,,,,,,,,,,,
140723_74_5,0.0424,,,,,,,,,,,,,,,,,,
140723_75_1,0.0245,,,,,,,,,,,,,,,,,,
140723_75_2,0.0523,,,,,,,,,,,,,,,,,,
140723_75_3,0.048,,,,,,,,,,,,,,,,,,
140723_75_4,0.0563,,,,,,,,,,,,,,,,,,
140723_75_5,0.049,,,,,,,,,,,,,,,,,,
140723_76_1,0.008,,,,,,,,,,,,,,,,,,
140723_76_2,0.0438,,,,,,,,,,,,,,,,,,
